CAMPING_UNIT_TYPE,CAMPING_UNIT_NAME,ID,NAME,CAMPSITE_TYPE_NAME,CAMPING_UNIT_DESCRIP,CAMPGROUND_LOOP_NAME,CAMPGROUND_NAME,CAMPGROUND_TYPE_NAME,CONTAINING_MGMT_UNIT_NAME,LAM_PROGRAM_PROJECT_CODE,CONTAINING_MGMT_UNIT_TYPE_NAME,SHAPE_COLLECTION_METHOD,AMPS_30_FLAG,AMPS_50_FLAG,SITE_PAD_LENGTH_FT,SITE_PAD_WIDTH_FT,SITE_PAD_TYPE_NAME,PULL_THROUGH_BACK_IN_FLAG,LEFT_SLIDE_OUT_FLAG,RIGHT_SLIDE_OUT_FLAG,TENT_PAD_DIMENSIONS_FT_X_FT,TENT_PAD_TYPE_NAME,DISTANCE_TO_WATER_BODY,DISTANCE_TO_RESTROOM,DISTANCE_TO_SHOWER,DISTANCE_TO_DUMP_STATION,HIKE_IN_DISTANCE,PICNIC_TABLE_FLAG,ADA_ACCESSIBLE_FLAG,DIRECTIONS,FOOD_LOCKER_FLAG,WATER_FRONT_FLAG,PETS_ALLOWED_FLAG,CAPACITY_PEOPLE,CAPACITY_VEHICLES,FIRE_RING_FLAG,GRILL_TYPE_NAME,SEATING_TYPE_NAME,SHADE_TYPE_NAME,COUNTY_NAME,PAT_AREA_NAME,PAT_DISTRICT_NAME,DNR_REGION_NAME,DNR_REGION_CODE,MN_TOURISM_REGION_NAME
Campsite,BP2,11034,Backpack #BP3,Backpack,,,,,Split Rock Lighthouse State Park,SPK00266,State Park,Global Positioning System,,,,,,,,,9x9,Wood Chips,Directly overlooks lake,On Site,1 mile,,4.8 miles,t,,,t,,t,6,2,t,On Fire Ring,,Partially,Lake,2C,4,Northeast Region,2,Northeast
Campsite,BP4,11035,Backpack #BP4,Backpack,,,,,Split Rock Lighthouse State Park,SPK00266,State Park,Global Positioning System,,,,,,,,,8x8,Wood Chips,,On Site,2 miles,,2.2 miles,t,,,t,t,t,6,2,t,On Fire Ring,,Partially,Lake,2C,4,Northeast Region,2,Northeast
Campsite,CART01,11036,Cart-In #CI 1,Cart-In,,,Cart-In Campground,,Split Rock Lighthouse State Park,SPK00266,State Park,Global Positioning System,,,,,,,,,20x13,Wood Chips,Directly overlooks lake,638',638',,660',t,,,t,,t,6,2,t,On Fire Ring,,Partially,Lake,2C,4,Northeast Region,2,Northeast
Campsite,CART03,11037,Cart-In #CI 3,Cart-In,,,Cart-In Campground,,Split Rock Lighthouse State Park,SPK00266,State Park,Global Positioning System,,,,,,,,,13x15,Wood Chips,Directly overlooks lake,269',269',,440',t,t,,t,,t,6,2,t,On Fire Ring,,Partially,Lake,2C,4,Northeast Region,2,Northeast
Campsite,CART05-NR,11038,Cart-In #CI 5,Cart-In,,,Cart-In Campground,,Split Rock Lighthouse State Park,SPK00266,State Park,Global Positioning System,,,,,,,,,13x10,Wood Chips,.25 mile,322',322',,440',t,,,t,,t,6,2,t,On Fire Ring,,Partially,Lake,2C,4,Northeast Region,2,Northeast
Campsite,B-NR,12197,Cart-In #CI B,Cart-In,,,Lake Superior Cart-In Campground,,Tettegouche State Park,SPK00269,State Park,Heads-Up Digitizing,,,,,,,,,18x18,Gravel/ Sand,.3 mile,375',2 miles,,,t,,,t,,t,6,2,t,On Fire Ring,,No ,Lake,2C,4,Northeast Region,2,Northeast
Campsite,D,12198,Cart-In #CI D,Cart-In,,,Lake Superior Cart-In Campground,,Tettegouche State Park,SPK00269,State Park,Heads-Up Digitizing,,,,,,,,,15x18,Gravel/ Sand,.2 mile,600',2 miles,,,t,,,t,,t,6,2,t,On Fire Ring,,Fully,Lake,2C,4,Northeast Region,2,Northeast
Campsite,J,12199,Cart-In #CI J,Cart-In,,,Lake Superior Cart-In Campground,,Tettegouche State Park,SPK00269,State Park,Heads-Up Digitizing,,,,,,,,,18x20,Gravel/ Sand,0,350',2 miles,,,t,,,t,t,t,6,2,t,On Fire Ring,,Fully,Lake,2C,4,Northeast Region,2,Northeast
Campsite,N-NR,12200,Cart-In #CI N,Cart-In,,,Lake Superior Cart-In Campground,,Tettegouche State Park,SPK00269,State Park,Heads-Up Digitizing,,,,,,,,,18x20,Gravel/ Sand,.1 mile,300',2 miles,,,,,,t,,t,6,2,t,On Fire Ring,,Partially,Lake,2C,4,Northeast Region,2,Northeast
Campsite,E,12289,Cart-In #CI E,Cart-In,,,Lake Superior Cart-In Campground,,Tettegouche State Park,SPK00269,State Park,Heads-Up Digitizing,,,,,,,,,18x20,Gravel/ Sand,0,800',2 miles,,,t,,,t,t,t,6,2,t,On Fire Ring,,Fully,Lake,2C,4,Northeast Region,2,Northeast
